,comInsert,dataTime
164,153,2017-05-26 09:01:00
165,117,2017-05-26 09:02:00
166,119,2017-05-26 09:03:00
167,155,2017-05-26 09:04:00
168,169,2017-05-26 09:05:00
169,128,2017-05-26 09:06:00
170,149,2017-05-26 09:07:00
171,129,2017-05-26 09:08:00
172,121,2017-05-26 09:09:00
173,183,2017-05-26 09:10:00
174,143,2017-05-26 09:11:00
175,127,2017-05-26 09:12:00
176,121,2017-05-26 09:13:00
177,138,2017-05-26 09:14:00
178,153,2017-05-26 09:15:00
179,120,2017-05-26 09:16:00
180,169,2017-05-26 09:17:00
181,123,2017-05-26 09:18:00
182,120,2017-05-26 09:19:00
183,166,2017-05-26 09:20:00
184,123,2017-05-26 09:21:00
185,133,2017-05-26 09:22:00
186,135,2017-05-26 09:23:00
187,118,2017-05-26 09:24:00
188,164,2017-05-26 09:25:00
189,127,2017-05-26 09:26:00
190,128,2017-05-26 09:27:00
191,132,2017-05-26 09:28:00
192,120,2017-05-26 09:29:00
193,171,2017-05-26 09:30:00
194,175,2017-05-26 09:31:00
195,134,2017-05-26 09:32:00
196,128,2017-05-26 09:33:00
197,100,2017-05-26 09:34:00
198,141,2017-05-26 09:35:00
199,146,2017-05-26 09:36:00
200,107,2017-05-26 09:37:00
201,132,2017-05-26 09:38:00
202,136,2017-05-26 09:39:00
203,163,2017-05-26 09:40:00
204,158,2017-05-26 09:41:00
205,101,2017-05-26 09:42:00
206,109,2017-05-26 09:43:00
207,110,2017-05-26 09:44:00
208,139,2017-05-26 09:45:00
209,117,2017-05-26 09:46:00
210,119,2017-05-26 09:47:00
211,109,2017-05-26 09:48:00
212,96,2017-05-26 09:49:00
213,208,2017-05-26 09:50:00
214,103,2017-05-26 09:51:00
215,98,2017-05-26 09:52:00
216,160,2017-05-26 09:53:00
217,118,2017-05-26 09:54:00
218,147,2017-05-26 09:55:00
219,102,2017-05-26 09:56:00
220,108,2017-05-26 09:57:00
221,141,2017-05-26 09:58:00
222,98,2017-05-26 09:59:00
223,256,2017-05-26 10:00:00
224,142,2017-05-26 10:01:00
225,192,2017-05-26 10:02:00
226,100,2017-05-26 10:03:00
227,103,2017-05-26 10:04:00
